incident_id,source,place_name,distance_to_fire_m,place_type,place_role,matched_within_radius_m,address,additional_info,osm_type,osm_id,google_place_id,place_latitude,place_longitude
INC204,google,Suleiman Agricultural Company,172.28,association_or_organization,place,200,"George Haddad St - Saifi Beirut Central District Beirut Harbor 1504 Bldg - 3rd floor, Bayrut, Lebanon",google_primary_type=association_or_organization; google_types=association_or_organization|wholesaler|point_of_interest|service|establishment,,,ChIJTUUh-QEXHxURdaA30EWZBfA,33.8984579,35.51018
INC204,google,Miele,172.53,home_goods_store,place,200,"St Saifi, George Haddad, Bayrut, Lebanon",google_primary_type=home_goods_store; google_types=furniture_store|home_improvement_store|home_goods_store|store|point_of_interest|general_contractor|service|establishment,,,ChIJPeV5X-UWHxURCtY3DNkkB5Y,33.898452,35.509872
INC204,google,TA Group,176.19,corporate_office,place,200,"Al Marfa'a, Beirut, Lebanon",google_primary_type=corporate_office; google_types=corporate_office|point_of_interest|establishment,,,ChIJsX4G7RgXHxUR1ERe8Jvv3Ps,33.8984158,35.5099619
INC204,google,Lounge Dental Clinic - Dental Implant Beirut Lebanon,176.49,dental_clinic,place,200,"Harbor bldg 1504, 2nd floor, بيروت، Lebanon",google_primary_type=dental_clinic; google_types=dental_clinic|dentist|medical_clinic|point_of_interest|health|establishment,,,ChIJuyr62Gw-HxURbq4zUAoujao,33.8984129,35.5099738
INC204,osm,Ancient Tell: Canaanite Gate,176.69,tourism:attraction,place,200,Beirut,tourism=attraction,node,12700355415.0,,33.8986295,35.5090312
INC204,google,Arab Air Carriers Organization (AACO),178.01,corporate_office,place,200,"Beirut, Lebanon",google_primary_type=corporate_office; google_types=corporate_office|point_of_interest|establishment,,,ChIJJSUqWbkXHxURJwODs3zZaCc,33.8983994,35.5099644
INC204,google,Tekramtaxi,179.18,hotel,place,200,"VGX6+942, Beirut, Lebanon",google_primary_type=hotel; google_types=hotel|lodging|point_of_interest|establishment,,,ChIJU2mAdbkZHxURk0o66CbDtbE,33.8984138,35.5103422
INC204,google,LEBELIK Headoffice,179.45,service,place,200,"VGX6+949, Beirut, Lebanon",google_primary_type=service; google_types=point_of_interest|service|establishment,,,ChIJOzOmm5cXHxUR1D5OV5_IXlE,33.8984121,35.5103471
INC204,google,Prime Gold,181.88,store,place,200,"George Haddad, Saifi 2038 3054, Lebanon",google_primary_type=store; google_types=finance|store|point_of_interest|establishment,,,ChIJyaVpYi0XHxURkAE9Gz32P8Q,33.8983686,35.5101429
INC204,google,FMCP sarl,182.02,service,place,200,"VGX6+83R, Beirut, Lebanon",google_primary_type=service; google_types=point_of_interest|service|establishment,,,ChIJtWqaWOUWHxURpkD8HsBblwI,33.898367,35.510137
INC204,osm,Unnamed building,182.31,building:yes,building,200,,building=yes,way,201251107.0,,33.8995497,35.5118994
INC204,osm,Unnamed building,182.92,building:yes,building,200,,building=yes,way,571333468.0,,33.900003,35.5080181
INC204,google,Wakim Group,183.36,furniture_store,place,200,"St Saifi, George Haddad, Bayrut, Lebanon",google_primary_type=furniture_store; google_types=furniture_store|home_improvement_store|home_goods_store|store|point_of_interest|establishment,,,ChIJNXMK4icXHxURpx-tHnLum5s,33.8983524,35.5099192
INC204,osm,Unnamed building,184.36,building:yes,building,200,,building=yes,way,571333469.0,,33.9002604,35.5080272
INC204,osm,Unnamed building,187.43,building:yes,building,200,,building=yes,way,834014494.0,,33.8984817,35.510882
INC204,osm,Unnamed building,187.52,building:yes,building,200,,building=yes,way,489235830.0,,33.898317,35.5101292
INC204,osm,Unnamed amenity:parking,198.05,amenity:parking,place,200,,amenity=parking,way,449287372.0,,33.8984568,35.5089286
